Id,Label,Uri
1,yogurt omlet,http://www.edamam.com/ontologies/edamam.owl#recipe_46025ff4995360c156032228fdca3d63
2,Omlet,http://www.edamam.com/ontologies/edamam.owl#recipe_0e26d88f6b91426a9760d18a512bcd47
3,Greek omlet,http://www.edamam.com/ontologies/edamam.owl#recipe_ce20e48486ad954936d048cab1146ef0
4,Omlet Casserole in a Crock Pot,http://www.edamam.com/ontologies/edamam.owl#recipe_4a61b3074f766d2d620156533518dc64
5,Ole Omlet - Diabetic Friendly Recipe,http://www.edamam.com/ontologies/edamam.owl#recipe_ea8bae1a5c3747fe1491c72ac0fba625
6,Keto bread,http://www.edamam.com/ontologies/edamam.owl#recipe_be29712ff665cc7497e3ace9a768f2d0
7,Bread Baking: 70-Percent Hydration Bread,http://www.edamam.com/ontologies/edamam.owl#recipe_4fb5d3c6f71eb3626f1c22c8449449cd
8,Brocoli and Cheese Omlets,http://www.edamam.com/ontologies/edamam.owl#recipe_23ce6cf842afff2f1ba3313bfe8e704b
9,Caraway Bloody Marys with Mini Reubens,http://www.edamam.com/ontologies/edamam.owl#recipe_12ba5be6a90c41e28ba33e72f9f0ffd7
10,Cheese Crackers Recipe,http://www.edamam.com/ontologies/edamam.owl#recipe_1edd17cc7c6340f1aecd42e40aaf06cf
11,Napa Valley Mojito Recipe,http://www.edamam.com/ontologies/edamam.owl#recipe_4623c12da051a429d0795f1703f3244e
12,Barley Risotto With Blue Cheese And Spinach recipes,http://www.edamam.com/ontologies/edamam.owl#recipe_e8907d4844985f01bb024cfae11fe889
13,Gluten Free Flat Bread,http://www.edamam.com/ontologies/edamam.owl#recipe_7e4cfa9173f341d684c17e2df3985f44
14,My enduring chocolate chunk cookies,http://www.edamam.com/ontologies/edamam.owl#recipe_6d62aa1230d6ce6231e051d0e7bd3d31
15,Mojito Chocolate Chip Cookies,http://www.edamam.com/ontologies/edamam.owl#recipe_3097141fab064634b259c0997f4585d1
16,Strong Cheese,http://www.edamam.com/ontologies/edamam.owl#recipe_6e7e7bbcb4ae4c2fc76226c0718d0fc2
17,Goat Cheese Soufflé,http://www.edamam.com/ontologies/edamam.owl#recipe_021e480aa577261766eecf279c96599e
18,Deep Fried Fish Bones,http://www.edamam.com/ontologies/edamam.owl#recipe_3f0ce55d11f4a075bb39c2091e59e261
19,Chile Fish Sauce,http://www.edamam.com/ontologies/edamam.owl#recipe_cd9827d6618045339377cfd48b8982ad
20,Fish in Foil,http://www.edamam.com/ontologies/edamam.owl#recipe_fffad8430b194949b1b5ddab8ccca07e
21,Fish Fumet,http://www.edamam.com/ontologies/edamam.owl#recipe_1297c760f06e7c47e77387cdcafae687
22,Fish stock,http://www.edamam.com/ontologies/edamam.owl#recipe_b834c4b7bc0d49df819ca1f7873f7781
23,Salted Plum Steamed Fish,http://www.edamam.com/ontologies/edamam.owl#recipe_68651a5e7fc048ecb9b0904186d8499e
24,Frozen Royal Mojito,http://www.edamam.com/ontologies/edamam.owl#recipe_946b3ee4119ba857ccf221253bd99759
25,Upgraded Harvey Wallbanger Recipe,http://www.edamam.com/ontologies/edamam.owl#recipe_51a287195119d18d6faa256bc6673b10
26,Mojito,http://www.edamam.com/ontologies/edamam.owl#recipe_8de6a67c1bc642c8b4cffa1039dc6edc
27,Mojito,http://www.edamam.com/ontologies/edamam.owl#recipe_3c7cba5353234bb2a3aed8164f7e3935
28,Mojito Jelly Shot Recipe,http://www.edamam.com/ontologies/edamam.owl#recipe_52b9bc21ac76795b74167320a71bee15
29,Blueberry mojito,http://www.edamam.com/ontologies/edamam.owl#recipe_2b2f398b762a2f5bbc245557c0efcea0
30,Three-Cheese Mixture,http://www.edamam.com/ontologies/edamam.owl#recipe_c388030f9cee4ebb8d45dbe978491d0c
31,Cucumber Goat Cheese Grilled Cheese,http://www.edamam.com/ontologies/edamam.owl#recipe_57de00134cef5d85bd1f9d1777cfec64
32,Skillet Mac And Cheese,http://www.edamam.com/ontologies/edamam.owl#recipe_91333e0b5a60eb05ed1401d2cdd410fb
33,Cheese Brodo,http://www.edamam.com/ontologies/edamam.owl#recipe_2eb1fb93e30306158cd6d137e536bcad
34,Blueberry Mojito Sorbet,http://www.edamam.com/ontologies/edamam.owl#recipe_83fdc0620f7b555581aea973008d3e0d
35,Mojito Slushie,http://www.edamam.com/ontologies/edamam.owl#recipe_92a6fc8673705ef0bf256fe0a9b019f4
36,Mango Omlet,http://www.edamam.com/ontologies/edamam.owl#recipe_b942336bf09551f69d507ff1967e72dc
37,Crispy Thai Omlet,http://www.edamam.com/ontologies/edamam.owl#recipe_4a1a825695629fec962a67810d167a00
38,Boiled Egg Omlet w/ Veggies & Cheese,http://www.edamam.com/ontologies/edamam.owl#recipe_ef4677b8d5f4e43a42bee9355a5b2078
39,Fake Away Special 'Fried' rice,http://www.edamam.com/ontologies/edamam.owl#recipe_cd91b205d4d402de83245785282bccc3
40,Grilled Sourdough Bread,http://www.edamam.com/ontologies/edamam.owl#recipe_f51c6a96b9ba6f581bc31c1d037290dd
41,Beaujolais Chorizo Bread,http://www.edamam.com/ontologies/edamam.owl#recipe_4862ce618c0345aeb1a45aac3164bcec
42,Bread Baking: Caterpillar Bread for Halloween Recipe,http://www.edamam.com/ontologies/edamam.owl#recipe_5a8f80242739f6ce0749eb7a7c833f1d
43,Milk Bread Buns,http://www.edamam.com/ontologies/edamam.owl#recipe_e09cbc702a2a46febd16be7b1e24f49f
44,Eggy bread,http://www.edamam.com/ontologies/edamam.owl#recipe_9545696ae86a48d18c639eb6d828beac
45,Mojito,http://www.edamam.com/ontologies/edamam.owl#recipe_6b06c2b38b6e14b5628d3a7ae57a2207
46,nan's breakfast omlet muffin 150 calories,http://www.edamam.com/ontologies/edamam.owl#recipe_45fe3a6d1cdb14ebb6aa250ffb79da32
47,Pineapple Mojito,http://www.edamam.com/ontologies/edamam.owl#recipe_1f01101c7ec94f7aa6a10886bd459e29
48,Japanese Milk Bread (Shokupan),http://www.edamam.com/ontologies/edamam.owl#recipe_07d1d700dffb3dfb725ba38d67531387
49,Bread Baking: Walnut Apricot Bread Recipe,http://www.edamam.com/ontologies/edamam.owl#recipe_1b762f467a84038330c7167ef15037f0
50,Bread Baking: It's Just White Bread Recipe,http://www.edamam.com/ontologies/edamam.owl#recipe_2d7c95981e187d8c681ef192a7ed9b18
51,Pitta bread,http://www.edamam.com/ontologies/edamam.owl#recipe_01b1926ecd5a86fafc863ae15bdfeb1c
52,Fathers Day Food Lasagne with Meat,http://www.edamam.com/ontologies/edamam.owl#recipe_f3376c0d85e6469eab470deb14570ac0
53,Spice-Rubbed Grilled Flap Meat (Sirloin Tip) Recipe,http://www.edamam.com/ontologies/edamam.owl#recipe_763b4b1ced75faae48164b68ee9e3fad
54,Meat and Fava Stew,http://www.edamam.com/ontologies/edamam.owl#recipe_7d9b74eaccc54ff29819247838284766
55,Crab-Meat-Stuffed Sole,http://www.edamam.com/ontologies/edamam.owl#recipe_cbd557240975fb6519580ce83b4c0e3c
56,Pimento Cheese,http://www.edamam.com/ontologies/edamam.owl#recipe_c23d4d64e02318eef70940c6643353ad
57,Autumn Cabbage And Smoked Meat Borscht recipes,http://www.edamam.com/ontologies/edamam.owl#recipe_13330bbb36e1b5e38cab7104e95eae82
58,Meat Tortellini in Broth with Arugula and Pesto Toasts,http://www.edamam.com/ontologies/edamam.owl#recipe_8d4bc28be65052a1daca3450033ed9e9
1052,‘Mpanatigghi (Sicilian Chocolate-Meat Cookies),http://www.edamam.com/ontologies/edamam.owl#recipe_25c588c5801c4b2694bed417b40a120e
2052,Fathers Day Food Lasagne with Meat,http://www.edamam.com/ontologies/edamam.owl#recipe_f3376c0d85e6469eab470deb14570ac0
2053,Strong Cheese,http://www.edamam.com/ontologies/edamam.owl#recipe_6e7e7bbcb4ae4c2fc76226c0718d0fc2
2054,Goat Cheese Soufflé,http://www.edamam.com/ontologies/edamam.owl#recipe_021e480aa577261766eecf279c96599e
2055,Pimento Cheese,http://www.edamam.com/ontologies/edamam.owl#recipe_c23d4d64e02318eef70940c6643353ad
2056,Omlet,http://www.edamam.com/ontologies/edamam.owl#recipe_0e26d88f6b91426a9760d18a512bcd47
2057,yogurt omlet,http://www.edamam.com/ontologies/edamam.owl#recipe_46025ff4995360c156032228fdca3d63
2058,Ole Omlet - Diabetic Friendly Recipe,http://www.edamam.com/ontologies/edamam.owl#recipe_ea8bae1a5c3747fe1491c72ac0fba625
2059,Mango Omlet,http://www.edamam.com/ontologies/edamam.owl#recipe_b942336bf09551f69d507ff1967e72dc
2060,Greek omlet,http://www.edamam.com/ontologies/edamam.owl#recipe_ce20e48486ad954936d048cab1146ef0
2061,Omlet Casserole in a Crock Pot,http://www.edamam.com/ontologies/edamam.owl#recipe_4a61b3074f766d2d620156533518dc64
2062,Brocoli and Cheese Omlets,http://www.edamam.com/ontologies/edamam.owl#recipe_23ce6cf842afff2f1ba3313bfe8e704b
2063,Crispy Thai Omlet,http://www.edamam.com/ontologies/edamam.owl#recipe_4a1a825695629fec962a67810d167a00
2064,Keto bread,http://www.edamam.com/ontologies/edamam.owl#recipe_be29712ff665cc7497e3ace9a768f2d0
2065,Fathers Day Food Lasagne with Meat,http://www.edamam.com/ontologies/edamam.owl#recipe_f3376c0d85e6469eab470deb14570ac0
2066,Fathers Day Food Lasagne with Meat,http://www.edamam.com/ontologies/edamam.owl#recipe_f3376c0d85e6469eab470deb14570ac0
2067,Tabasco Spicy Potatoes,http://www.edamam.com/ontologies/edamam.owl#recipe_cb9682173c56e51ceee2278f11355b27
2068,Cheese Omelette,http://www.edamam.com/ontologies/edamam.owl#recipe_fd4777a5991711dbe7206cff25f84ff5
2069,Chili Cheese Dog Grilled Cheese Recipe,http://www.edamam.com/ontologies/edamam.owl#recipe_103611ea8e513cb9cd0fefb6eb76300e
2070,Fried Halloumi Cheese,http://www.edamam.com/ontologies/edamam.owl#recipe_112b681b8741be4173dda638abf4559c
2071,cheese dip,http://www.edamam.com/ontologies/edamam.owl#recipe_2409975f8963425abdc562d7a19c8301
2072,Meat fondue,http://www.edamam.com/ontologies/edamam.owl#recipe_03d5468f8040446ab6ff1ebaf7005db4
2073,Meat Lovers Pizza Spaghetti,http://www.edamam.com/ontologies/edamam.owl#recipe_6bc87bcf574a4a0292c30d3aa34fde41
2074,Meat Lovers' Supreme Pizza,http://www.edamam.com/ontologies/edamam.owl#recipe_896cef296d2b04530316b81affb07c58
2075,Meat Lovers' Supreme Pizza,http://www.edamam.com/ontologies/edamam.owl#recipe_d9145859771bef0a65bbc48cc3536dec
2076,Cheese & onion bread,http://www.edamam.com/ontologies/edamam.owl#recipe_c879553de68c4a7a934a7498fec21585
2077,Baguettes (French bread),http://www.edamam.com/ontologies/edamam.owl#recipe_3177e127c7a94cb4aad17a3bca47e79d
2078,Scampi Buzara (Skampi Na Buzaru),http://www.edamam.com/ontologies/edamam.owl#recipe_32462a95f7004d17dcbe7cfc4cf6941f
